participant_id,stationary_ratio,Tik-norm,Total_Variation,graph_energy,spectral_entropy,signal_energy,signal_power,unique_clusters,avg_degree,heat_trace,diffusion_distance
sub-011_task-eyesclosed_eeg.set,0.06576477094930878,1.4726469219384382,1.557900283440012,59282297.57294657,8.948845729278052,0.00015760984733675657,1.077304722361413e-09,8.0,7698.999684798256,0.0,161145992.24184293
sub-088_task-eyesclosed_eeg.set,0.03726241678054105,1.1890334111117045,1.4767722141017745,61567559.81914371,8.967759126769499,0.0001389621092766272,9.320460231389775e-10,8.0,7845.9997220777,0.0,167357979.07894397
sub-045_task-eyesclosed_eeg.set,0.06353235412714067,2.015105550011724,1.684959426560126,72530769.16091156,9.04970202601337,0.00016668109539103753,1.029975729491637e-09,8.0,8515.999666656284,0.0,197159071.81426406
sub-038_task-eyesclosed_eeg.set,0.057751406033564975,1.7932219973676717,1.6365282714402307,79450479.3217751,9.095266164130717,0.00015022848514313668,8.870028426832454e-10,8.0,8912.999699548474,0.0,215968794.20274296
sub-002_task-eyesclosed_eeg.set,0.036089018347248446,1.1525268100757882,1.465304073770178,62892827.85288386,8.978408314628894,0.0001353642320084797,8.982981262708218e-10,8.0,7929.999729275483,0.0,170960431.0928971
sub-068_task-eyesclosed_eeg.set,0.11046077175582837,0.38665904522246575,1.1151853136508991,32838628.75636165,8.653470809708786,0.00010850264576724095,9.964430524284344e-10,8.0,5729.999782998019,0.0,89264647.81993067
sub-030_task-eyesclosed_eeg.set,0.03877978819504644,0.6914754982285288,1.2896123894878617,30697138.336899783,8.619749779741328,0.00015008677559265473,1.4255265198660858e-09,8.0,5539.999699855582,0.0,83443473.32688849
sub-087_task-eyesclosed_eeg.set,0.03777428955995385,0.5032789328530376,1.1911520037852767,36330754.58115683,8.704004653483045,0.00011769619439011355,1.0275551514828919e-09,8.0,6026.999764624556,0.0,98757229.99216431
sub-040_task-eyesclosed_eeg.set,0.028579375242500007,5.452963432430989,2.1610914451835117,93267301.32968345,9.175438319966917,0.00024187461928351119,1.3176692363211475e-09,8.0,9656.999516430264,0.0,253526810.39389348
sub-077_task-eyesclosed_eeg.set,0.0448858506690391,1.096577426686006,1.447187568489509,48881069.90564801,8.852378886511985,0.00014976790093154487,1.1273620802265754e-09,8.0,6990.999700464532,0.0,132872524.08015949
sub-012_task-eyesclosed_eeg.set,0.030047692157264702,3.2291957637185797,1.8957828552412015,78066056.40600717,9.086476384753796,0.00020337596187476164,1.2114075298790186e-09,8.0,8834.999593255676,0.0,212205542.54790968
sub-022_task-eyesclosed_eeg.set,0.0368564572587325,2.203921522406837,1.7231140727079963,67560177.03087774,9.014203826148503,0.0001806061878131171,1.1563905892302486e-09,8.0,8218.999638792911,0.0,183647601.55051175
sub-051_task-eyesclosed_eeg.set,0.039958206949250306,1.7946644048286713,1.6368572642948434,56753619.32069813,8.927048647825696,0.00017802179322021233,1.2427530457237312e-09,8.0,7532.999644371931,0.0,154272332.09873652
sub-041_task-eyesclosed_eeg.set,0.04319646023407435,2.3583319238129477,1.7525331044234058,78508456.92862755,9.089302043599126,0.00017330857136909616,1.0293988583043845e-09,8.0,8859.999653383089,0.0,213408111.84944847
sub-009_task-eyesclosed_eeg.set,0.03898598283800206,0.4146455547108477,1.1348389971034076,37521748.71214038,8.720134035412926,0.00010511544337349663,9.030961177905322e-10,8.0,6124.999789771528,0.0,101994687.6962179
sub-007_task-eyesclosed_eeg.set,0.032791327102498456,1.1588761930039373,1.4673180437152085,58744557.84697764,8.944289319650697,0.00014044682037747663,9.643641088668782e-10,8.0,7663.999719109935,0.0,159684264.11630112
sub-084_task-eyesclosed_eeg.set,0.03716013918501566,0.3574614809025981,1.0935088705629519,42516918.804238304,8.7826296549207,9.168622618494316e-05,7.400060343794734e-10,8.0,6519.999816629092,0.0,115572967.78762946
sub-059_task-eyesclosed_eeg.set,0.03686485179237764,1.4354331569809091,1.5479635897917077,61960509.6038086,8.97094039814245,0.00015219806250372177,1.0175784792790686e-09,8.0,7870.999695605767,0.0,168426127.33809593
sub-010_task-eyesclosed_eeg.set,0.0392793307896124,7.127139832889171,2.310701348223996,164288300.66065904,9.458527693729824,0.00020827576922481962,8.551922468468958e-10,8.0,12816.999583449762,0.0,446581902.31428826
sub-062_task-eyesclosed_eeg.set,0.031776732510182086,3.0197400359782756,1.8642638878904816,80757178.52451998,9.103423089630104,0.00019337832038856086,1.1324407994293305e-09,8.0,8985.999613276954,0.0,219520770.90082657
sub-006_task-eyesclosed_eeg.set,0.03882566797591615,0.6308784759179578,1.260379774793463,39986650.411442734,8.751949058058612,0.00012559995629945434,1.0453044622598995e-09,8.0,6322.999748804985,0.0,108694985.19436947
sub-026_task-eyesclosed_eeg.set,0.03844301891651672,2.832905419459829,1.8347336094918933,80757178.63375239,9.103423089630105,0.00018731635943209813,1.0968709249321708e-09,8.0,8985.999625431445,0.0,219520771.19775087
sub-049_task-eyesclosed_eeg.set,0.043298695408829774,1.3687168433285153,1.5296546834497105,60863399.660156414,8.962007209588315,0.00014996379229165074,1.0116343839374527e-09,8.0,7800.999700096953,0.0,165443873.31444362
sub-082_task-eyesclosed_eeg.set,0.06201676013942876,1.453274781309382,1.5527514095413448,60458397.58896291,8.958668737047434,0.00015503531988787412,1.0493509685588546e-09,8.0,7774.999689938648,0.0,164342963.54383072
sub-047_task-eyesclosed_eeg.set,0.044676382926201415,1.5432061157430637,1.576235054683218,65116827.515482925,8.995784837848507,0.00015394456735943703,1.0039922531773383e-09,8.0,8068.999692129233,0.0,177005888.96224007
sub-048_task-eyesclosed_eeg.set,0.05073089617261617,4.454242097325786,2.054510912581518,97980297.77898465,9.200087995511831,0.00021321118862610385,1.13361294527804e-09,8.0,9897.99957359174,0.0,266338062.99962065
sub-029_task-eyesclosed_eeg.set,0.04209093633398463,1.1647736534796798,1.4691812680210181,54265319.84150627,8.904630097005011,0.0001464982048457005,1.046614997301766e-09,8.0,7365.99970700506,0.0,147508432.8406844
sub-005_task-eyesclosed_eeg.set,0.056760525858427606,1.5284837417177037,1.5724621615000858,64649637.527362615,8.992184362173013,0.00015376040702067977,1.0064230221347318e-09,8.0,8039.999692496283,0.0,175735934.90709335
sub-025_task-eyesclosed_eeg.set,0.05006623500807063,0.7884365059961053,1.3326210804531384,46833490.22412096,8.830981510952498,0.00012975798940355736,9.977595032379227e-10,8.0,6842.999740520304,0.0,127306625.43954256
sub-036_task-eyesclosed_eeg.set,0.030318447054393887,1.462255826844677,1.5551448195301285,70786979.58152448,9.037533407550814,0.0001437179176598014,8.989893157371353e-10,8.0,8412.999712565303,0.0,192418960.28795964
sub-037_task-eyesclosed_eeg.set,0.04406474895698696,1.6703963182112291,1.6077550369103033,60380667.41512358,8.958025443361693,0.00016632569130166093,1.1264900510811475e-09,8.0,7769.999667368882,0.0,164131671.02475965
sub-021_task-eyesclosed_eeg.set,0.07496772931356017,2.9046893790539303,1.846247507535378,84686002.59136996,9.127176130715412,0.00018519408437324685,1.0591018746076932e-09,8.0,9201.999629617509,0.0,230200421.96895635
sub-024_task-eyesclosed_eeg.set,0.029437414391536333,1.2028973030459669,1.4810582362676523,57722003.80646638,8.935508711503221,0.00014434976619025138,9.999147129799885e-10,8.0,7596.999711301182,0.0,156904674.04936203
sub-008_task-eyesclosed_eeg.set,0.03921753876729125,2.2526792793334383,1.7325662050251107,62940418.998214155,8.978786553302003,0.00018918213450430944,1.254934133972188e-09,8.0,7932.999621655426,0.0,171089797.23844507
